pbIndex,pb1,pb2,
010511,0.30892745,0.40727359,
010512,-0.02822691,0.22006169,
010513,0.33033761,-0.48611158,
010514,0.44937235,0.07079796,
010515,0.37038636,-0.02644786,
010516,-0.10329598,-0.57193553,
010517,0.17222117,0.32822630,
010518,-0.39460006,-0.28656492,
010519,0.48276028,0.03038557,
010520,0.37839743,-0.03926098,
010521,0.14163184,-0.40401533,
010522,0.39965311,0.35762897,
010523,0.33719680,-0.58079052,
010524,0.60389012,0.10513970,
010525,0.11445168,-0.66192675,
010526,0.30168661,-0.08649828,
010527,0.27181497,0.04717136,
010528,0.06287502,0.28236064,
010529,-0.08326638,-0.47341481,
010530,-0.35268480,-0.66926879,
010531,-0.54152268,-0.60580629,
010532,0.18818365,-0.41148338,
010533,0.26076016,-0.10428932,
010534,0.42302874,-0.22576675,
010535,-0.71866900,-1.44303179,
010536,-0.08084647,-0.50299060,
010537,-0.19614074,-0.63390720,
010538,-0.56791741,0.74701387,
010539,-0.88044053,0.97190654,
010540,0.45121881,-0.32419199,
010541,0.30070427,-0.24736539,
010542,0.16111264,-0.08925977,
010543,0.20735361,-0.41198915,
010544,0.31696165,-0.25139588,
010545,-0.00013652,-0.14001913,
010546,0.01501797,0.18824372,
010547,-0.27300948,-0.46291420,
010548,0.23613702,-0.15380569,
010549,0.69802678,-0.59551919,
010550,0.14905976,0.10071247,
010551,-0.30593443,-0.32415748,
010553,0.48761988,-0.32147372,
010554,0.66929817,0.20525129,
010555,0.53999925,0.19096376,
010556,1.02539289,0.38519418,
010557,0.26787105,-0.37385789,
010558,0.10851923,0.01446838,
010559,-0.58521086,-0.18945715,
010560,-0.01728537,-0.32434162,
010561,0.17260323,-0.07094809,
010562,-0.19438875,-0.95720851,
010563,0.88199586,0.15150063,
010564,0.79393506,-0.08640355,
010565,-0.14060368,-0.21119677,
010566,0.02470291,0.07345111,
010567,-0.88607341,-0.27526668,
010568,0.44116658,-0.05439010,
010569,0.29631445,-0.21870804,
010570,-0.17326337,-0.30957198,
010572,0.26706329,-0.21845856,
010573,-0.22252652,-0.33214486,
010574,0.01588696,-0.62055528,
010575,0.29656953,-0.02580348,
010576,0.25416321,-0.06473570,
010577,-0.17659993,-0.01405805,
010578,-0.11237393,-0.17127803,
010579,-0.17210846,-0.14865327,
010580,0.23657954,-0.25445819,
010581,0.18379956,-0.04616597,
010582,0.22305483,-0.09095096,
010583,-0.05432963,-1.36271060,
010584,0.22015198,-0.04068260,
010585,-0.02567421,-0.54289210,
010586,-0.26537526,-0.26795274,
010587,-0.21205005,-0.75374991,
010588,0.14925583,0.13304968,
010589,0.38047248,-0.38714606,
010590,0.59434575,-0.14066319,
010591,0.41295615,-0.19788794,
010592,0.15404162,-0.16687970,
010593,0.39280826,0.15938205,
010594,0.20767084,-0.34478983,
010595,0.18720967,-0.88958812,
010596,0.03386787,-0.15139703,
010597,0.74885333,0.26490673,
010598,0.15243044,-0.25924683,
010599,0.16997267,-0.49719605,
010601,-0.01249226,-0.68668360,
010602,0.20795408,-0.26404127,
010603,0.41033646,-0.28558564,
010604,0.27414417,-0.43261793,
010605,-0.60408163,-0.41815111,
010606,-0.10552068,-0.28705469,
010607,-0.13997662,0.08974922,
010608,-0.16133562,0.00849003,
010609,0.60074174,0.14719628,
010610,0.41831341,-0.09533364,
010611,0.17785445,-0.41444233,
010612,-0.46404445,-0.19380996,
010613,0.35206163,-0.38584659,
010614,-0.36192888,-0.72975606,
010615,0.20502871,-0.12410013,
010616,0.18098442,-0.17161320,
010617,0.53735220,-0.03084341,
010618,0.01288432,-0.19838086,
010619,-0.10147634,0.29042920,
010620,0.55560434,-0.07690433,
010621,0.22277911,-0.23909727,
010622,0.67030603,-0.16965577,
010623,0.23243697,-0.13257168,
010624,0.07335819,0.20250842,
010625,0.35362643,0.17549527,
010626,-0.13352238,0.12736216,
010627,0.28263354,-0.31397143,
010628,0.14417158,-0.42447448,
010629,0.32825971,0.07355625,
010630,0.12515931,0.00776118,
010631,0.25406861,0.32423210,
010632,-0.26737699,0.21629833,
010633,0.22513561,-0.22464600,
010634,0.52069491,-0.06782593,
010635,0.70422661,0.01151771,
010636,0.08282857,0.13413106,
010637,0.11051527,-0.22806337,
010638,0.34295759,-0.37116480,
010639,-0.26651654,-0.36257544,
010640,0.02351613,0.32136303,
010641,-0.47258067,-0.34919205,
010643,-0.04476841,-0.47375819,
010644,-0.18549529,0.10193728,
010645,-0.02198368,-0.95845544,
010646,0.16766748,-0.72378600,
010647,-0.39774463,0.18898278,
010648,0.15186355,-0.52680832,
010649,0.24997881,-0.30759126,
010650,-0.40792385,-1.20153260,
010651,0.69999331,-0.05459084,
010652,0.91761714,-0.63591295,
010653,0.37112528,0.08834627,
010654,0.91333389,0.06939498,
010655,-0.35701206,-0.10713826,
010656,-0.38349664,-0.12132913,
010657,0.27889130,-0.25473174,
010658,0.03794312,-0.07980977,
010659,0.15221888,-0.23559739,
010660,-0.07801916,-0.17966436,
010661,-0.11391844,-0.82241964,
010662,0.27348214,-0.83265477,
010663,0.10771659,-0.77811384,
010664,0.06043094,-0.53233457,
010665,0.23099962,-0.34325111,
010666,0.16374832,-0.24280393,
010667,-0.08569915,-0.41319153,
010668,0.70093977,-0.12392886,
010669,-0.27207536,-0.20272085,
010670,0.23672391,0.07368275,
